Nan: 12345678G - Data: 2023/04/30 17:57:24
Nan: 12345678B - Data: 2023/05/01 16:13:43
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 20:16:41
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 20:17:17
Bezeroa-> Nan: 79003399D - Data: 2023/05/04 20:32:46
Bezeroa-> Nan: 55929848N - Data: 2023/05/04 20:41:55
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 20:44:22
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 21:03:53
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 08:31:37
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 08:40:06
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 08:41:34
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 08:42:27
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 09:06:24
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 09:07:34
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 09:07:59
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 09:09:54
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 09:42:35
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 09:42:51
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 10:41:29
Bezeroa-> Nan: 78950146R - Data: 2023/05/05 10:42:25
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 10:43:57
Bezeroa-> Nan: 79003399D - Data: 2023/05/05 12:05:38
Bezeroa-> Nan: 79003399D - Data: 2023/05/05 12:05:55
Bezeroa-> Nan: 79003399D - Data: 2023/05/05 12:28:58
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 12:45:28
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 12:47:36
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 12:50:01
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 12:53:22
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 12:55:42
Bezeroa-> Nan: 79003399D - Data: 2023/05/05 12:55:54
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:21:33
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:24:55
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:25:29
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:25:54
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:26:12
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:26:36
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:28:57
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:31:47
Bezeroa-> Nan: 12345678Z - Data: 2023/05/05 13:32:22
